bio1,bio12,tconmean,lenferr,lenroadr,urbr,popdi,numazr,redre,coorx,coory,fnat,frob,nocom,noreg,areagis_ha,popde,shdi
11.9,846,20.8,0,1.928083625,0.053814311,0.208186309,6.91,10119,416869,5021577,0,0.069365381,Vische,Piemonte,1707.476067,80,0.967629382
10.5,866,19.8,0,1.767861594,0.172786177,0.094758065,5.86,10045,402371,5033215,0.25,0.023666617,Vistrorio,Piemonte,468.1712694,110,0.965422433
11.375,852.25,20.5,0,3.240247203,0.183417085,0.072972973,1.94,14734,409590,5025991,0.12,0.179085521,Scarmagno,Piemonte,803.0845711,97,1.504673268
8.85,914.5,18.5,0,0.409646552,0.026737968,0.128985507,8.05,9650,380110,5006243,0.5,0.019394536,Varisella,Piemonte,2255.791926,34,1.559984997
11.36666667,854.6666667,20.43333333,0,2.231304525,0.165517241,0.057446809,2.28,10320,393190,5014719,0,0.267549239,Vauda Canavese,Piemonte,709.2920937,208,1.133477308
11.9,820.4,20.5,0,1.645289106,0.000965251,0.203269367,6.46,17398,379778,4989023,0,0.127718853,Villarbasse,Piemonte,1040.880204,279,1.317947166
12.25,836,21.45,0.1625755,2.560095822,0.041949414,0.039565853,9.55,10807,404473,5005279,0.03,0.071219762,Volpiano,Piemonte,3246.28759,421,1.460156032
11.6,825,20.325,0.292471172,3.201864853,0.944444444,0.072807501,10.55,16645,379300,4992417,0.14,0.085857694,Rosta,Piemonte,906.5004757,422,1.830812343
11.8,807,20.9,0,2.380695381,0.002647838,0.814892136,4.07,11264,411571,4994556,0.18,0.219123436,Sciolze,Piemonte,1135.565763,134,0.897566671
12.1,858,21.3,0.169623715,3.427346899,0.116313455,0.007767807,16.23,11238,391417,4999512,0.09,0.01350135,Venaria Reale,Piemonte,2044.241773,1731,2.020702246
11.8,850,20.8,0,1.629368853,0.089403974,0.090592334,6.87,11359,417054,5026707,0,0.083071646,Vestignè,Piemonte,1206.90651,72,0.924479612
12.7,806,21.05,0.052190511,3.785267354,0.012893983,0.111685329,9.53,9953,382396,4979552,0,0.008249653,Volvera,Piemonte,2098.267784,372,0.706547794
11.3,851,20.4,0.132188249,3.233565283,0.012096774,0.041891083,2.39,12055,397645,5023686,0,0.177447041,Salassa,Piemonte,495.1949002,339,1.541662558
11.35,854.25,20.425,0,5.037379861,0.139534884,0.026315789,2.46,16373,409470,5034406,0,0.050727394,Salerano Canavese,Piemonte,210.3406215,253,0.798795474
12.43333333,834.3333333,21.66666667,0.35125259,3.81572929,0.216249614,0.035183687,8.05,10856,403413,4999867,0,0.004028919,Settimo Torinese,Piemonte,3236.597485,1463,1.532739402
11.9,946,20.6,0,1.367123313,0,0.01179941,23.68,10021,451588,5030409,0,0.093364489,Albano Vercellese,Piemonte,1378.040823,24,0.997103554
11.8,864,20.7,0,3.246489024,0,0.240875912,7.66,9448,428380,5024431,0,0.214618359,Alice Castello,Piemonte,2456.498271,105,1.572698349
11.56666667,849.3333333,20.56666667,0,5.64284672,0.255623722,0.0951417,3.39,12566,409231,5033319,0,0.049404028,Samone,Piemonte,243.2955055,106,0.959609139
11.56666667,849.3333333,20.56666667,0,5.64284672,0.255623722,0.0951417,3.39,12566,409231,5033319,0,0.049404028,Samone,Piemonte,243.2955055,603,0.959609139
12.2,840,21.25,0.220866529,1.91579831,0.117169896,0.083236321,10.94,10653,404745,5009448,0,0.153374895,San Benigno Canavese,Piemonte,2223.179599,239,1.305256617
11.9,813,20.7,0,1.603117234,0.397994359,0.742721733,8.41,9232,429754,5000917,0.1,0.187301796,Verrua Savoia,Piemonte,3194.308657,46,1.46893115
11.2,854,20.375,0,3.566898847,0.008908686,0.187772926,6.25,11477,407205,5025521,0.6,0.118722149,Vialfrè,Piemonte,464.5345564,52,0.68553711
11.75,952.5,20.55,0,1.194783016,0,0.041626331,26.54,9431,451189,5037732,0,0.084465532,Arborio,Piemonte,2331.011159,45,1.148663943
11.2,853,20.3,0,1.773558868,0.017652672,0.183201804,7.11,12089,391520,5012178,0,0.121008476,San Carlo Canavese,Piemonte,2090.676838,169,1.501304994
11.2,851,20.3,0.108807593,1.250990335,0.022727273,0.124528302,3.55,10166,395418,5022323,0,0,San Ponso,Piemonte,212.4266583,126,0.433210081
11.8,848,20.8,0.256165564,2.663346253,0.057582418,0.016901408,5.83,12390,414122,5026130,0,0.039219177,Strambino,Piemonte,2246.861995,270,1.163911425
11.65,862.5,20.75,0,2.68830812,0.066489362,0.070788325,11.57,10701,395335,5009366,0,0.084381425,San Francesco al Campo,Piemonte,1497.955944,295,1.456957213
11.6,815,20.1,0,2.387661803,0.37037037,0.070985155,3.41,13504,377487,4986739,0,0.079247666,Sangano,Piemonte,665.1261525,558,1.512222171
